Commercial,Industrial,Residential 1,Residential 2,Residential 3,,,,,,
28.1803071,31.6022431,49.4512641,59.3415169,44.5061377,,,,,,
27.9922107,32.89004255,46.83974875,56.2076985,42.15577385,,,,,,
27.9934283,28.09995315,43.9498196,52.7397835,39.55483765,,,,,,
28.0460083,28.6499015,41.50763015,49.8091562,37.35686715,,,,,,
27.99292495,27.85179745,39.1044007,46.9252808,35.1939606,,,,,,
27.94729365,27.27072475,37.5361129,45.04333545,33.7825016,,,,,,
27.41811085,27.01549595,36.2564284,43.50771405,32.63078555,,,,,,
25.4061803,26.34541205,35.30220935,42.3626512,31.7719884,,,,,,
23.4190306,26.36800765,33.593366,40.3120392,30.2340294,,,,,,
24.20582265,25.9394165,31.81319605,38.17583525,28.63187645,,,,,,
26.0423477,26.1055203,29.78158455,35.73790145,26.8034261,,,,,,
27.95961635,25.8381962,28.1626488,33.79517855,25.3463839,,,,,,
30.5099406,26.53589195,26.60035485,31.9204258,23.94031935,,,,,,
35.72058705,26.06835845,23.8806507,28.65678085,21.4925856,,,,,,
40.54397665,25.52420705,22.1310493,26.55725915,19.91794435,,,,,,
42.25536015,26.0021311,19.76348315,23.71617975,17.78713485,,,,,,
43.45013435,25.69390945,18.58119855,22.29743825,16.7230787,,,,,,
44.3004029,17.2755519,17.8109903,21.37318835,16.02989125,,,,,,
45.31211845,18.4679916,16.60772725,19.9292727,14.94695455,,,,,,
45.3943407,23.05124485,15.84740885,19.01689065,14.262668,,,,,,
45.2492707,36.53621575,15.6199427,18.74393125,14.05794845,,,,,,
45.363746,44.47551415,15.99245975,19.1909517,14.3932138,,,,,,
45.8072552,44.77622665,15.2162577,18.2595092,13.6946319,,,,,,
47.21909205,45.45054205,13.6401779,16.3682135,12.2761601,,,,,,
47.76663795,44.3681885,12.78635565,15.34362675,11.50772005,,,,,,
48.0618612,44.1568774,13.75376115,16.50451335,12.378385,,,,,,
49.3129392,46.97185605,15.26510745,18.31812895,13.7385967,,,,,,
49.64505255,43.97315715,16.3646771,19.63761255,14.7282094,,,,,,
48.9060974,43.5302082,16.9469785,20.3363742,15.25228065,,,,,,
47.4907002,46.6385843,17.60570135,21.1268416,15.8451312,,,,,,
47.1152193,45.5081643,18.2632254,21.9158705,16.43690285,,,,,,
46.1383286,45.6593494,18.9633057,22.75596685,17.06697515,,,,,,
43.1209351,47.1503177,21.06354665,25.276256,18.957192,,,,,,
42.997048,46.6289214,24.48632805,29.38359365,22.03769525,,,,,,
41.25288725,40.79741925,28.28792,33.945504,25.459128,,,,,,
39.24928655,46.8900998,32.1521476,38.5825771,28.93693285,,,,,,
36.906866,44.5034624,35.6081948,42.72983375,32.0473753,,,,,,
35.3568048,43.80677865,38.146885,45.776262,34.3321965,,,,,,
35.370844,37.916038,39.4628322,47.35539865,35.516549,,,,,,
33.35447175,35.8486261,40.28129085,48.337549,36.25316175,,,,,,
33.2075257,44.1022469,42.0066172,50.40794065,37.8059555,,,,,,
33.2806634,38.87084085,43.7112648,52.4535178,39.34013835,,,,,,
33.2627664,34.1500887,45.3773339,54.4528007,40.83960055,,,,,,
33.3095218,32.52758755,46.90394275,56.2847313,42.21354845,,,,,,
33.2534148,35.90835535,47.86287555,57.43545065,43.076588,,,,,,
33.2285644,34.50594915,48.82700585,58.592407,43.94430525,,,,,,
33.0693023,33.0236399,48.85997195,58.63196635,43.97397475,,,,,,
32.88946975,32.6733338,48.38825685,58.06590825,43.5494312,,,,,,
