Solar1,
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.0819398,0.0819398
1.36371235,1.36371235
3.19565215,3.19565215
4.88712375,4.88712375
8.74414715,8.74414715
10.8394649,10.8394649
14.86622075,14.86622075
19.09197325,19.09197325
21.930602,21.930602
22.0827759,22.0827759
22.7909699,22.7909699
24.64046825,24.64046825
24.68729095,24.68729095
24.64046825,24.64046825
24.23662205,24.23662205
23.16555185,23.16555185
21.8076923,21.8076923
19.7533445,19.7533445
17.47658865,17.47658865
14.8603679,14.8603679
11.89882945,11.89882945
7.7901338,7.7901338
3.97408025,3.97408025
1.2408027,1.2408027
0.08779265,0.08779265
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
